12,20130225,20130223
14,20130228,20130228
15,20130120,20130125
21,20130130,20130126
13,20130326,20130325
16,20130101,20121227
13,20130217,20130219
20,20130201,20130128
14,20130125,20130128
24,20130326,20130325
24,20130126,20130122
12,20130109,20130107
20,20130205,20130208
14,20130228,20130304
19,20130319,20130318
25,20130114,20130114
22,20130324,20130327
15,20130308,20130304
21,20130109,20130107
24,20130126,20130129
11,20130327,20130401
25,20130118,20130115
16,20130311,20130316
17,20130324,20130329
11,20130227,20130225
18,20130228,20130224
25,20130209,20130207
10,20130113,20130118
22,20130301,20130301
15,20130307,20130302
16,20130202,20130207
12,20130119,20130116
24,20130131,20130204
20,20130210,20130215
22,20130203,20130205
18,20130124,20130126
11,20130117,20130118
12,20130119,20130124
23,20130104,20130107
22,20130113,20130110
18,20130104,20121230
24,20130120,20130124
13,20130215,20130216
14,20130322,20130317
12,20130101,20121229
13,20130319,20130319
10,20130210,20130210
11,20130127,20130130
12,20130126,20130130
19,20130104,20130103
23,20130130,20130125
10,20130313,20130309
14,20130122,20130124
25,20130314,20130309
25,20130311,20130314
18,20130204,20130204
14,20130305,20130309
16,20130309,20130310
11,20130316,20130317
25,20130321,20130324
17,20130101,20121227
12,20130107,20130107
14,20130307,20130302
21,20130221,20130216
23,20130316,20130318
22,20130210,20130206
18,20130315,20130310
25,20130328,20130330
15,20130112,20130114
23,20130309,20130305
11,20130328,20130330
25,20130124,20130120
10,20130326,20130325
22,20130131,20130204
10,20130210,20130207
25,20130126,20130129
20,20130325,20130322
14,20130207,20130205
25,20130109,20130105
10,20130201,20130206
15,20130131,20130130
21,20130202,20130129
10,20130131,20130205
21,20130116,20130121
12,20130303,20130308
17,20130227,20130224
16,20130330,20130326
13,20130214,20130213
14,20130202,20130207
17,20130115,20130120
24,20130128,20130124
11,20130304,20130309
22,20130117,20130115
19,20130319,20130318
11,20130306,20130311
13,20130316,20130313
23,20130223,20130228
24,20130317,20130312
25,20130305,20130309
22,20130204,20130205
